id,mime,decoded_bytes,decoded_human,instances,distinct_pages,shared,footprint_bytes,recommended_action,example_page,all_pages,hash
img-047,svg+xml,27242,26.6 KB,3,3,yes,81726,SHARED→one shared file; extract .svg (keep vector),gopher-faqs.html,gopher-faqs.html|gopher-iq-sandbox-standalone.html|gopher-services.html,1c654eb62d9a
img-048,png,81084,79.2 KB,1,1,no,81084,convert to WebP,gopher-request.html,gopher-request.html,b814a157216b
img-049,png,40135,39.2 KB,2,1,no,80270,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,878b875f6ff1
img-050,png,39286,38.4 KB,2,1,no,78572,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,4c26c00e436d
img-051,png,38798,37.9 KB,2,1,no,77596,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,3a145c166e00
img-052,webp,77470,75.7 KB,1,1,no,77470,extract as-is (already WebP),gopher-go.html,gopher-go.html,57082dfe5bab
img-053,png,38710,37.8 KB,2,1,no,77420,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,ed3defcc3cc2
img-054,webp,72206,70.5 KB,1,1,no,72206,extract as-is (already WebP),gopher-go.html,gopher-go.html,38b53352c408
img-055,png,34854,34.0 KB,2,1,no,69708,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,2a5b31b60595
img-056,png,69630,68.0 KB,1,1,no,69630,convert to WebP,gopher-deals.html,gopher-deals.html,49a88a1de2ea
img-057,jpeg,69417,67.8 KB,1,1,no,69417,convert to WebP,gopher-connect.html,gopher-connect.html,5b68bc95508e
img-058,png,33491,32.7 KB,2,1,no,66982,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,3b93f5a58635
img-059,jpeg,63096,61.6 KB,1,1,no,63096,convert to WebP,gopher-request.html,gopher-request.html,65e485cdc4c4
img-060,jpeg,62944,61.5 KB,1,1,no,62944,convert to WebP,gopher-connect.html,gopher-connect.html,7fea0ce58c32
img-061,jpeg,61203,59.8 KB,1,1,no,61203,convert to WebP,gopher-request.html,gopher-request.html,e9e0328ed964
img-062,png,29099,28.4 KB,2,1,no,58198,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,1e410c7c5924
img-063,jpeg,57494,56.1 KB,1,1,no,57494,convert to WebP,gopher-connect.html,gopher-connect.html,1552b30d4299
img-064,jpeg,57160,55.8 KB,1,1,no,57160,convert to WebP,gopher-request.html,gopher-request.html,84b3542fa8a0
img-065,svg+xml,28443,27.8 KB,2,2,yes,56886,SHARED→one shared file; extract .svg (keep vector),gopher-go-101.html,gopher-go-101.html|gopher-go.html,1c3b38601434
img-066,png,28161,27.5 KB,2,1,no,56322,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,a42ba12167c1
